
 SWASH is preparing computation

+SWASH is processing output request    1
[ 59%]   step 366
[ 60%]   step 367
[ 60%]   step 368
[ 60%]   step 369
[ 60%]   step 370
+SWASH is processing output request    1
[ 60%]   step 371
[ 60%]   step 372
[ 61%]   step 373
[ 61%]   step 374
[ 61%]   step 375
[ 61%]   step 376
[ 61%]   step 377
[ 61%]   step 378
[ 62%]   step 379
[ 62%]   step 380
[ 62%]   step 381
[ 62%]   step 382
[ 62%]   step 383
[ 62%]   step 384
[ 63%]   step 385
[ 63%]   step 386
[ 63%]   step 387
[ 63%]   step 388
[ 63%]   step 389
[ 63%]   step 390
+SWASH is processing output request    1
[ 64%]   step 391
[ 64%]   step 392
[ 64%]   step 393
[ 64%]   step 394
[ 64%]   step 395
[ 64%]   step 396
[ 65%]   step 397
[ 65%]   step 398
[ 65%]   step 399
[ 65%]   step 400
[ 65%]   step 401
[ 65%]   step 402
[ 66%]   step 403
[ 66%]   step 404
[ 66%]   step 405
[ 66%]   step 406
[ 66%]   step 407
[ 66%]   step 408
[ 67%]   step 409
[ 67%]   step 410
+SWASH is processing output request    1
[ 67%]   step 411
[ 67%]   step 412
[ 67%]   step 413
[ 67%]   step 414
[ 68%]   step 415
[ 68%]   step 416
[ 68%]   step 417
[ 68%]   step 418
[ 68%]   step 419
[ 68%]   step 420
[ 69%]   step 421
[ 69%]   step 422
[ 69%]   step 423
[ 69%]   step 424
[ 69%]   step 425
[ 69%]   step 426
[ 70%]   step 427
[ 70%]   step 428
[ 70%]   step 429
[ 70%]   step 430
+SWASH is processing output request    1
[ 70%]   step 431
[ 70%]   step 432
[ 71%]   step 433
[ 71%]   step 434
[ 71%]   step 435
[ 71%]   step 436
[ 71%]   step 437
[ 71%]   step 438
[ 72%]   step 439
[ 72%]   step 440
[ 72%]   step 441
[ 72%]   step 442
[ 72%]   step 443
[ 72%]   step 444
[ 73%]   step 445
[ 73%]   step 446
[ 73%]   step 447
[ 73%]   step 448
[ 73%]   step 449
[ 73%]   step 450
+SWASH is processing output request    1
[ 74%]   step 451
[ 74%]   step 452
[ 74%]   step 453
[ 74%]   step 454
[ 74%]   step 455
[ 74%]   step 456
[ 75%]   step 457
[ 75%]   step 458
[ 75%]   step 459
[ 75%]   step 460
[ 75%]   step 461
[ 75%]   step 462
[ 76%]   step 463
[ 76%]   step 464
[ 76%]   step 465
[ 76%]   step 466
[ 76%]   step 467
[ 76%]   step 468
[ 77%]   step 469
[ 77%]   step 470
+SWASH is processing output request    1
[ 77%]   step 471
[ 77%]   step 472
[ 77%]   step 473
[ 77%]   step 474
[ 78%]   step 475
[ 78%]   step 476
[ 78%]   step 477
[ 78%]   step 478
[ 78%]   step 479
[ 78%]   step 480
